标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
智苑小区 必看好房 有证 可贷款可过户 价格狂甩周边几条街的,3,2,1,89.4㎡,南,低层(共33层),2018年建造,智苑小区,洪山,光谷东,流港路100号,7028元/㎡,63万
崇安鑫城 友谊路轻轨站旁 精装两室 小区有绿化 大阳台 老证,2,2,1,94.59㎡,南北,中层(共21层),2006年建造,崇安鑫城,江汉,前进/江汉,友谊路126号,16167元/㎡,153万
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130㎡,南,,,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,16532元/㎡,215万
正南 3室2厅 精装修,3,2,1,87.48㎡,南,高层(共34层),2015年建造,佳兆业金域天下(三期),洪山,白沙洲,烽胜路36号,15402元/㎡,135万
华润一期北区 精装满二 中间楼层采光好 挂东头大两房,2,2,1,82㎡,南北,中层(共47层),2018年建造,华润翡翠城(一期北区),硚口,硚口周边,城华路6号,11593元/㎡,95万
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,8396元/㎡,107万
送60万精装个车位 缺钱急售老证满五唯一 龙阳一号墨水湖公园,3,2,2,137.6㎡,南北,高层(共33层),2016年建造,龙阳1号,汉阳,王家湾,芳草路88号,14899元/㎡,205万
金融港软件园附近，2号线地铁口，朝南满五唯一，急售随时看房,3,2,1,109.45㎡,南,中层(共18层),2009年建造,藏龙星天地,江夏,藏龙岛,九凤街16号,11027元/㎡,121万
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,9107元/㎡,107万
摩尔城旁  王家湾产商圈 三号线四号线 配套成熟 环境好,3,2,2,123.35㎡,南北,中层(共48层),2018年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,14073元/㎡,174万
捡漏好房 居家精装修 111平 3室2厅 南北通透 急售,3,2,1,111.13㎡,南北,低层(共34层),2016年建造,清江锦城玺园,洪山,白沙洲,烽胜路55号,12273元/㎡,136万
国博新城 95110平三房出售小高层公摊17,3,2,2,95㎡,南北,,,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,13661元/㎡,130万
近轻轨站 华发都荟天地旁 次新小区 电梯通透3房 双卫,3,2,2,137.84㎡,南北,中层(共28层),2019年建造,辛鑫绣城,硚口,古田,古田路57号,8996元/㎡,124万
武昌徐东内环   三开间朝南 2梯2户 采光好 拎包入住,3,2,2,139.01㎡,南,低层(共24层),2012年建造,爱家国际华城,洪山,铁机路,团结大道1026号,13083元/㎡,182万
福星二期 中间楼层，精装老证未入住 性价比高诚心卖,3,2,1,97.66㎡,南,中层(共54层),2013年建造,福星华府誉境,江汉,杨汊湖,姑嫂树路99号,15236元/㎡,149万
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137㎡,南北,,,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,9050元/㎡,124万
劲爆价 直降50万 捡漏 好楼层 一梯两户 业主急卖去外地,3,2,1,129.13㎡,南,中层(共6层),2007年建造,汉口春天,硚口,古田,解放大道109号,10114元/㎡,131万
（新上好房）地铁口 水墨清华 南北通透 芳草二桥 一线湖景,3,2,2,104.53㎡,南北,高层(共22层),2013年建造,水墨清华,汉阳,王家湾,芳草路61号,14946元/㎡,156万
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108㎡,南北,,,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,13624元/㎡,147万
满二（有钥匙）可随时看房子业主诚心卖清江锦城三期双天街双地铁,3,2,1,105.12㎡,南北,中层(共34层),2019年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12975元/㎡,136万
武汉捡漏第一急售住万科  菱角湖公园地铁口 万象城 新华医院,3,2,1,96㎡,南,中层(共41层),2019年建造,万科金域时代,江汉,北湖,台北路295号,16102元/㎡,155万
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100㎡,南,,,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,13804元/㎡,138万
正南 3室2厅 精装修,3,2,2,116.47㎡,南,高层(共33层),2016年建造,江山如画(6期),硚口,武胜路,汉中路76号,19730元/㎡,230万
金银潭地铁口 永旺旁 南北通透两房 自带常青树 凤凰楼层,2,2,1,95.86㎡,南,高层(共28层),2006年建造,常青花园五小区,东西湖,常青花园,学府北路111号,15522元/㎡,149万
光谷主城区  地铁口  准现房,3,2,2,117.74㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11093元/㎡,131万
3室2厅 企业力荐好房诚意出售,3,2,1,108.83㎡,东,中层(共33层),2018年建造,万科翡翠玖玺,沌口开发区,郭徐岭广场,太子湖路,16711元/㎡,182万
和昌森林湖 精装修 满二 2室2厅 楼层好 视野无遮挡！！！,2,2,1,90.16㎡,西,低层(共33层),2016年建造,和昌森林湖,汉阳,四新,芳草西路,14670元/㎡,132万
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11124元/㎡,119万
中建南湖壹号 南北通透采光好双阳台 精装大三房 满二年街道口,3,2,2,131.04㎡,南北,低层(共34层),2015年建造,中建南湖壹号,洪山,街道口,文荟路78号,17663元/㎡,231万
世茂5期，急售，老证，中高层，精装，视野好，江景房,3,1,1,90.39㎡,南,高层(共57层),2006年建造,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,18198元/㎡,164万
地铁口（保利新武昌旁） 满二  保利上城 南北通透,3,2,2,117.6㎡,南北,高层(共38层),2018年建造,保利上城西区,洪山,白沙洲,峰胜路20号,13917元/㎡,164万
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123㎡,南北,,,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,10081元/㎡,124万
南北通透 3室2厅 精装修,3,2,2,116.52㎡,南北,低层(共45层),2018年建造,东原启城(一期),洪山,白沙洲,烽胜路66号,12628元/㎡,147万
武湖长江新区高车地铁口汉北大全景精装三房 即买即住 随时看房,3,2,1,92.85㎡,南北,高层(共18层),2014年建造,汉北大全景,黄陂,武湖,汉口北大道,6944元/㎡,64万
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29㎡,南,,,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,14867元/㎡,122万
正南 3室2厅 精装修,3,2,2,97.28㎡,南,低层(共45层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,14275元/㎡,139万
急卖科普公园大华铂金郦府 纯商品房南北通透 自住装修随时看房,2,2,1,88.79㎡,南北,低层(共34层),2018年建造,大华铂金郦府,青山,余家头,旅大街21号,15362元/㎡,136万
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102㎡,南,,,新世界汉江·云赫,硚口,古田,知音大道588号,16127元/㎡,164万
保利中央公馆 电梯三房 97平189万 诚心可谈 满五,3,2,1,97.17㎡,南,低层(共34层),2015年建造,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16078元/㎡,156万
满二唯一 南北通透 3室2厅 精装修,3,2,1,84㎡,南北,低层(共34层),2016年建造,保利上城东区,洪山,白沙洲,烽胜路20号,12990元/㎡,109万
单价1万3起步主城区准现房,3,2,2,113㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12436元/㎡,141万
正南 3室2厅 精装修,3,2,1,98.43㎡,南,低层(共40层),2016年建造,保利上城东区,洪山,白沙洲,烽胜路20号,13605元/㎡,134万
捡漏必看 恒大 精装朝南三房 诚心出售 随时看房,3,2,1,102.02㎡,南,高层(共46层),2017年建造,恒大御府,青山,建设二路,冶金大道16号,14017元/㎡,143万
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12399元/㎡,149万
地铁口精装修三房，凤凰楼层，视野开阔，二次装修，满二，诚心卖,3,2,2,108.36㎡,南北,高层(共45层),2018年建造,东原启城(二期),洪山,白沙洲,烽胜路,13884元/㎡,150万
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,12793元/㎡,107万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,1,86.95㎡,南北,低层(共34层),2022年建造,大华锦绣时代(一期),青山,建设二路,建设三路36号,15686元/㎡,136万
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122㎡,南北,,,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,15245元/㎡,186万
下楼就是六号线，对应黄狮海学校。曾经的地王，房东血亏大跳水,3,2,1,104.23㎡,南北,中层(共46层),2020年建造,融创观澜府,东西湖,吴家山,云海路1号,12689元/㎡,132万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,82.2㎡,南,高层(共18层),2004年建造,保利花园(东区),洪山,关山,光谷大道219号,15587元/㎡,128万
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125㎡,南,,,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,15276元/㎡,191万
必看好房！！满二！！地铁口！！精装3房！！,3,2,1,105.07㎡,南,低层(共34层),2018年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12902元/㎡,136万
光谷三路 生物创新园 省妇幼旁 中建星光城一期 地铁700米,3,2,1,97.03㎡,南北,高层(共30层),2022年建造,中建星光城(一期),洪山,光谷东,光谷三路59号,15761元/㎡,153万
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99㎡,南北,,,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,12274元/㎡,122万
正南 3室2厅 精装修,3,2,2,111.71㎡,南,低层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,12579元/㎡,141万
房源采光好，南北通透，业主诚意出,3,2,1,92.36㎡,南,低层(共33层),2018年建造,绿地悦澜湾,汉阳,四新,四新北路601号,13425元/㎡,124万
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111㎡,南北,,,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,17798元/㎡,198万
凯德旁 金地悦江时代 次新小区 中高楼层 精装三房 老证税少,3,2,2,111.96㎡,南北,高层(共46层),2018年建造,金地悦江时代芸湾区,硚口,古田,田文街10号,12256元/㎡,137万
保利中央公馆(G1G16栋)93.79平183万3室2厅1卫,3,2,1,93.79㎡,南北,低层(共34层),2012年建造,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16129元/㎡,151万
华发以国企实力，兑现有保障,3,2,2,101㎡,南,,,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,15714元/㎡,159万
精装修 电梯房 满二唯一住房 102平 南北通透 看房方便,2,2,1,102.22㎡,南北,高层(共18层),2019年建造,丽水康城,硚口,古田,沿河大道438号,12130元/㎡,124万
南北通透 3室2厅 精装修,3,2,2,117.55㎡,南北,高层(共37层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,13783元/㎡,162万
央企军工品质 好楼层 业主诚信出售 有钥匙随时看房    ，,3,2,2,117.55㎡,南北,高层(共44层),2020年建造,保利新武昌,洪山,白沙洲,张家湾路8号,13783元/㎡,162万
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75㎡,南北,,,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,16532元/㎡,124万
后湖核心！ 新装一天未住！行知加六中 小高层低公摊 双地铁口,3,2,2,102.64㎡,南,低层(共18层),2010年建造,天伦二七嘉园我的寓所,江岸,后湖,兴业南路9号,15141元/㎡,155万
电梯房 南北通透 永利新城东苑 精装修 楼层好 视野无遮挡,3,2,1,92.46㎡,南北,中层(共32层),2017年建造,永利新城东苑,硚口,古田,长安路18号,11176元/㎡,103万
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102㎡,南北,,,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),13696元/㎡,140万
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71㎡,东南,高层(共28层),2003年建造,同成广场,江汉,新华路,建设大道538号,13217元/㎡,153万
此房是精装三房朝南户型 小区配套齐全 交通便利,3,2,1,94.62㎡,南,低层(共34层),2016年建造,绿地派克公馆,青山,和平大道,和平大道1650号,10004元/㎡,94万
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100㎡,南,,,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,14466元/㎡,145万
地铁口 满二 毛坯三居室 可随时看房,3,2,1,89.15㎡,南,中层(共34层),2014年建造,佳兆业金域天下(二期),洪山,白沙洲,烽胜路36号,14094元/㎡,126万
老证诚售  近洪山广场 地铁12号线旁 目送式教育 配套齐全,3,2,1,91.51㎡,南北,高层(共26层),2015年建造,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,12827元/㎡,117万
总价130多万买汉阳二环央企开发正地铁口精装现房120边户,3,2,2,123㎡,南,,,保利星河九洲,汉阳,升官渡,永安堂地铁站旁100米,11761元/㎡,145万
保利城精准小三房 186万 满五唯一 高视野 看房有钥匙,3,2,1,94.77㎡,南,中层(共51层),2016年建造,保利城一期,洪山,铁机路,团结大道1049号,16224元/㎡,154万
纽宾凯国际社区，四新成熟社区的标杆 毛坯小三房 老证价格优惠,3,2,1,91.37㎡,南,低层(共33层),2017年建造,纽宾凯国际社区锦城,汉阳,四新,芳草路,12847元/㎡,117万
汉阳中心片区 精装入住 交房又保障,3,2,2,110㎡,南,,,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,15705元/㎡,173万
天祥尚府 精装三房 中间位置 全屋中央空调 保养好可拎包入住,3,2,1,87.87㎡,南,高层(共32层),2016年建造,天祥尚府,洪山,光谷软件园,华师园路3号,15522元/㎡,136万
正南 2室2厅 精装修,2,2,1,80.18㎡,南,低层(共46层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,15980元/㎡,128万
二环老证龙湖天街旁双地铁精装修单价总价都低红桥城,3,2,1,91.35㎡,南,高层(共37层),2014年建造,福星惠誉红桥城,江岸,后湖,汉黄路6号,12487元/㎡,114万
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106㎡,南,,,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,13647元/㎡,145万
（急出）地铁口，保利上城东区，精装三房，中间楼层,3,2,1,95.19㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,13547元/㎡,129万
（精准）保利新武昌三居室 带精装 预约随时看 欢迎电话咨询！,3,2,1,94.79㎡,南北,高层(共44层),2020年建造,保利新武昌,洪山,白沙洲,张家湾路8号,15086元/㎡,143万
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105㎡,南北,,,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,14170元/㎡,149万
正南 4室2厅 企业力荐好房诚意出售,4,2,2,115.69㎡,南,高层(共34层),2018年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13576元/㎡,157万
保利精装三房，不临铁路高架，楼层好，无抵押交易快,3,2,1,95.66㎡,南,高层(共34层),2013年建造,保利公园九里(1-4期),洪山,新南湖,南湖小路9号,15969元/㎡,152万
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115㎡,南北,,,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,15742元/㎡,181万
六合新界小高层 精装三房 户型方正 南北通透 双阳台 好楼层,3,2,2,112.48㎡,南北,中层(共12层),2014年建造,六合新界,江岸,三阳路,胜利街315号,27926元/㎡,314万
上井小，崇仁路地铁口，精装修，拎包入住，诚心出售,3,2,1,103.31㎡,南,中层(共18层),2005年建造,集贤书香苑,硚口,武胜路,崇仁小路3号,16482元/㎡,170万
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35㎡,南北,,,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,15716元/㎡,170万
